"Date","Firefox","IE","Chrome","Safari","Opera","Android","Maxthon","360 Safe Browser","Mozilla","Flock","Chromium","RockMelt","Pale Moon","SeaMonkey","Other"
2008-07,14.91,81.94,0,0.44,2.66,0,0,0,0,0,0,0,0,0.02,0.04
2008-08,18.53,77.87,0,0.73,2.81,0,0,0,0,0,0,0,0,0.03,0.04
2008-09,17.97,76.61,0.95,0.75,3.66,0,0,0,0,0,0,0,0,0.02,0.04
2008-10,18.03,77.21,0.79,0.61,3.31,0,0,0,0,0,0,0,0,0.02,0.04
2008-11,17.99,77.6,0.67,0.5,3.2,0,0,0,0,0,0,0,0,0.01,0.04
2008-12,19.83,75.7,1.03,0.55,2.78,0,0,0,0.04,0.01,0,0,0,0.01,0.05
2009-01,19.92,75.97,1.09,0.52,2.31,0,0,0,0.08,0.01,0,0,0,0.01,0.09
2009-02,20.32,75.49,1.13,0.55,2.38,0,0,0,0.07,0.01,0,0,0,0.01,0.06
2009-03,21.63,73.92,1.3,0.57,2.47,0,0,0,0.06,0.01,0,0,0,0.01,0.04
2009-04,22.84,72.21,1.66,0.6,2.54,0,0,0,0.08,0,0,0,0,0.01,0.04
2009-05,24.4,68.29,2.48,1.48,2.64,0,0,0,0.56,0.02,0,0,0,0.01,0.12
2009-06,23.92,68.96,2.84,0.61,2.66,0,0,0,0.82,0.02,0,0,0,0.01,0.15
2009-07,25.03,68.6,3.05,0.62,2.43,0,0,0,0.14,0.01,0,0,0,0.01,0.12
2009-08,26.56,66.32,3.53,0.68,2.53,0,0,0,0.29,0.01,0,0,0,0.01,0.08
2009-09,27.71,64.63,3.98,0.72,2.62,0,0,0,0.29,0.01,0,0,0,0.01,0.03
2009-10,28.22,63.75,4.43,0.74,2.53,0,0,0,0.28,0.01,0,0,0,0.01,0.03
2009-11,28.44,62.29,5.14,0.78,2.69,0,0,0,0.6,0.01,0,0,0,0.01,0.04
2009-12,28.9,60.35,5.95,0.76,2.71,0,0.09,0,1.15,0.02,0,0,0,0.01,0.07
2010-01,28.93,59.91,6.68,0.82,2.61,0,0.14,0,0.79,0.03,0,0,0,0.01,0.08
2010-02,29.86,59.26,7.13,0.94,2.38,0,0.13,0,0.14,0.06,0,0,0,0.01,0.09
2010-03,29.74,58.49,7.92,1.01,2.36,0,0.12,0,0.21,0.06,0,0,0,0.02,0.08
2010-04,29.62,58.7,8.07,1.01,2.01,0,0.11,0,0.23,0.06,0,0,0,0.01,0.17
2010-05,29.86,57.69,8.69,0.99,2.17,0,0.1,0,0.21,0.06,0,0,0,0.02,0.22
2010-06,30.76,56.09,9.62,0.99,2.09,0,0.09,0,0.2,0.06,0,0,0,0.01,0.09
2010-07,31.17,55.11,10.18,1,2.17,0,0.08,0,0.12,0.07,0,0,0,0.01,0.09
2010-08,31.41,53.89,11.23,1.09,2.06,0,0.08,0,0.08,0.08,0,0,0,0.02,0.08
2010-09,31.81,53.04,11.34,1.09,2.39,0,0.09,0,0.08,0.08,0,0,0,0.02,0.07
2010-10,31.55,52.55,12.05,1.16,2.24,0,0.09,0,0.19,0.09,0,0,0,0.02,0.06
2010-11,31.78,51.48,12.85,1.21,2.26,0,0.09,0,0.17,0.09,0,0,0,0.02,0.06
2010-12,32.64,49,14.32,1.24,2.44,0,0.08,0,0.13,0.08,0,0,0,0.02,0.05
2011-01,32.34,48.32,15.31,1.38,2.33,0.01,0.08,0,0.11,0.07,0,0,0,0.01,0.04
2011-02,33.03,46.9,15.91,1.33,2.49,0.01,0.08,0,0.12,0.06,0,0,0,0.01,0.04
2011-03,34.32,44.89,16.47,1.35,2.62,0.01,0.09,0,0.12,0.06,0,0,0,0.03,0.04
2011-04,35.06,43.77,16.59,1.31,2.91,0.02,0.09,0,0.1,0.06,0.01,0,0,0.02,0.04
2011-05,35.26,42.54,17.53,1.39,2.87,0.03,0.09,0,0.09,0.07,0.03,0.01,0,0.01,0.06
2011-06,35.64,40.35,19.27,1.48,2.86,0.04,0.09,0,0.09,0.07,0.03,0.01,0,0.01,0.06
2011-07,36.09,38.3,20.9,1.51,2.8,0.05,0.09,0,0.08,0.06,0.03,0.01,0,0.01,0.06
2011-08,35.94,36.27,22.62,1.79,2.96,0.06,0.09,0,0.07,0.07,0.04,0.01,0,0.02,0.08
2011-09,35.89,35.79,23.17,1.86,2.88,0.06,0.09,0,0.06,0.07,0.04,0.01,0,0.02,0.06
2011-10,35.8,34.83,23.96,2.08,2.86,0.11,0.1,0,0.06,0.06,0.04,0.01,0,0.02,0.07
2011-11,35.6,33.86,24.99,2.17,2.87,0.13,0.1,0,0.06,0.05,0.04,0.02,0,0.02,0.08
2011-12,36.23,31.44,26.55,2.22,2.97,0.17,0.11,0,0.07,0.08,0.04,0.01,0,0.02,0.08
2012-01,35.44,31.26,27.5,2.45,2.68,0.21,0.11,0,0.08,0.09,0.05,0.02,0,0.02,0.09
2012-02,36.33,30.24,27.83,2.35,2.6,0.21,0.11,0,0.06,0.09,0.05,0.02,0,0.02,0.09
2012-03,38.73,27.19,28.75,2.15,2.49,0.2,0.12,0,0.07,0.08,0.05,0.05,0,0.02,0.09
2012-04,39.6,25.46,29.36,2.31,2.49,0.24,0.13,0,0.07,0.08,0.04,0.09,0,0.02,0.09
2012-05,40.95,23.3,29.8,2.4,2.7,0.25,0.18,0,0.06,0.07,0.04,0.12,0.01,0.02,0.1
2012-06,41.32,21.3,31.31,2.22,2.81,0.25,0.19,0.03,0.06,0.07,0.04,0.14,0.06,0.02,0.16
2012-07,40.71,21.2,31.83,2.42,2.8,0.29,0.2,0.04,0.05,0.06,0.05,0.14,0.06,0.02,0.13
2012-08,38.71,21.19,33.49,2.77,2.72,0.35,0.21,0.04,0.04,0.07,0.05,0.14,0.07,0.02,0.14
2012-09,36.67,21.75,34.67,3.13,2.62,0.42,0.23,0.01,0.04,0.06,0.05,0.13,0.08,0.02,0.11
2012-10,36.24,21.7,35.19,3.21,2.52,0.46,0.22,0.02,0.03,0.05,0.06,0.12,0.08,0.02,0.1
2012-11,36.96,20.76,35.78,3.18,2.16,0.48,0.24,0.03,0.03,0.04,0.05,0.11,0.08,0.02,0.09
2012-12,38.27,18.79,36.63,3.06,1.95,0.54,0.26,0.08,0.03,0.03,0.06,0.1,0.09,0.02,0.1
2013-01,37.01,19.11,37.59,3.11,1.85,0.59,0.27,0.06,0.03,0.03,0.05,0.1,0.09,0.02,0.1
2013-02,37.65,18.48,37.6,3.13,1.81,0.59,0.27,0.06,0.03,0.04,0.03,0.1,0.09,0.02,0.1
2013-03,37.63,17.36,38.83,3.18,1.66,0.63,0.27,0.05,0.03,0.03,0.04,0.09,0.09,0.02,0.1
2013-04,37.23,16.8,39.83,3.18,1.54,0.68,0.28,0.06,0.03,0.03,0.05,0.08,0.1,0.02,0.11
2013-05,35.14,16.48,41.99,3.34,1.48,0.75,0.3,0.11,0.03,0.02,0.06,0.08,0.1,0.02,0.12
2013-06,34.86,15.85,42.63,3.5,1.45,0.84,0.32,0.12,0.03,0.02,0.05,0.08,0.1,0.02,0.12
2013-07,33.88,15.46,43.49,3.81,1.53,0.97,0.31,0.12,0.02,0.02,0.06,0.07,0.11,0.01,0.14
2013-08,31.3,19.91,41.95,3.49,1.56,0.98,0.31,0.1,0.01,0.02,0.06,0.06,0.09,0.02,0.14
2013-09,33.15,15.13,44.46,3.68,1.71,1.04,0.32,0.12,0.01,0.02,0.06,0.04,0.11,0.02,0.14
2013-10,32.46,15.71,43.95,3.7,1.87,1.01,0.34,0.52,0.01,0.02,0.06,0.03,0.11,0.02,0.18
2013-11,33.02,14.6,44.79,3.72,1.77,1.04,0.36,0.3,0.02,0.01,0.05,0.03,0.1,0.02,0.16
2013-12,33.28,13.61,45.1,3.86,1.9,1.21,0.36,0.32,0.02,0.01,0.06,0.03,0.05,0.02,0.17
2014-01,33.72,14.26,43.93,3.96,1.83,1.3,0.35,0.32,0.02,0.01,0.06,0.02,0.04,0.02,0.17
2014-02,34.59,13.55,44.05,3.8,1.86,1.3,0.35,0.19,0.02,0.01,0.05,0.02,0.04,0.02,0.15
2014-03,33.96,13.55,44.19,4.03,1.94,1.38,0.39,0.22,0.02,0.01,0.06,0.02,0.03,0.02,0.19
2014-04,33.36,13.28,44.85,4.14,2,1.4,0.36,0.24,0.02,0.01,0.07,0.02,0.03,0.02,0.19
2014-05,33.38,13.29,44.81,4.19,1.93,1.4,0.35,0.29,0.01,0.01,0.06,0.02,0.03,0.02,0.2
2014-06,32.75,12.23,46.61,3.94,1.99,1.43,0.38,0.31,0.02,0.01,0.06,0.01,0.03,0.02,0.21
2014-07,30.11,12.85,47.38,4.8,2.35,1.64,0.3,0.22,0.01,0.01,0.07,0.01,0.03,0.01,0.18
2014-08,30.7,13.96,45.34,4.73,2.6,1.79,0.34,0.21,0.01,0.01,0.06,0.01,0.03,0.01,0.19
2014-09,30.68,13.78,45.26,4.69,2.71,1.75,0.34,0.43,0.01,0.01,0.05,0.01,0.04,0.01,0.23
2014-10,30.4,13.49,45.64,4.91,2.82,1.65,0.34,0.39,0.01,0.01,0.06,0.01,0.03,0.01,0.23
2014-11,30.34,13.26,46.16,4.79,2.88,1.73,0.34,0.14,0.02,0.01,0.05,0.01,0.04,0.01,0.22
2014-12,29.45,11.98,48.59,4.54,2.58,1.95,0.37,0.15,0.02,0.01,0.06,0.01,0.04,0.02,0.26
2015-01,28.24,12.42,48.88,4.58,3.04,1.83,0.36,0.26,0.02,0.01,0.06,0.01,0.04,0.01,0.24
2015-02,28.31,13.03,47.89,4.64,3.33,1.75,0.36,0.32,0.01,0.01,0.06,0.01,0.03,0.01,0.23
2015-03,27.99,12.82,48.29,4.84,3.5,1.7,0.35,0.17,0.01,0.01,0.06,0.01,0.03,0.01,0.21
